# Matter power spectrum P(k) at redshift z=2
# for k=1.045e-05 to 10.6861 h/Mpc,
# number of wavenumbers equal to 613
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.045004358465e-05       9.145489954197e+00 
       2.333095830364e-05       1.980285140602e+01 
       3.625717138197e-05       3.026129777743e+01 
       4.926346170446e-05       4.063837729035e+01 
       6.238518340033e-05       5.100026658497e+01 
       7.565858108432e-05       6.139612728907e+01 
       8.912111517766e-05       7.186772642953e+01 
       1.028118016360e-04       8.245335505105e+01 
       1.167715704439e-04       9.318983693380e+01 
       1.310436472695e-04       1.041137320526e+02 
       1.456739626796e-04       1.152621688905e+02 
       1.607115932535e-04       1.266734859147e+02 
       1.762092387588e-04       1.383877762089e+02 
       1.922237391794e-04       1.504473814957e+02 
       2.088166347274e-04       1.628973643912e+02 
       2.260547708937e-04       1.757859718488e+02 
       2.440109489228e-04       1.891651008562e+02 
       2.627646196243e-04       2.030907657587e+02 
       2.824026148746e-04       2.176235669587e+02 
       3.030199061975e-04       2.328291507864e+02 
       3.247203730558e-04       2.487786476997e+02 
       3.476175545344e-04       2.655490672635e+02 
       3.718353465747e-04       2.832236184120e+02 
       3.975085925723e-04       3.018919145800e+02 
       4.247834979996e-04       3.216500104936e+02 
       4.538177802962e-04       3.426002035250e+02 
       4.847804449377e-04       3.648505227701e+02 
       5.178510599038e-04       3.885138118630e+02 
       5.532183878397e-04       4.137063213006e+02 
       5.910782339040e-04       4.405457103948e+02 
       6.316303850249e-04       4.691484074750e+02 
       6.750745609842e-04       4.996262936684e+02 
       7.216053758472e-04       5.320827602916e+02 
       7.714064215132e-04       5.666082724198e+02 
       8.246437268604e-04       6.032756839593e+02 
       8.814589978991e-04       6.421356324734e+02 
       9.419631766203e-04       6.832124520473e+02 
       1.006230932013e-03       7.265010503254e+02 
       1.074296682416e-03       7.719651324268e+02 
       1.146152626855e-03       8.195370669003e+02 
       1.221749044348e-03       8.691194475974e+02 
       1.300996843579e-03       9.205882476342e+02 
       1.383772069420e-03       9.737946689657e+02 
       1.469921856686e-03       1.028572888196e+03 
       1.559271205765e-03       1.084752540714e+03 
       1.651629950109e-03       1.142152652185e+03 
       1.746799373907e-03       1.200591052995e+03 
       1.844578083652e-03       1.259888638803e+03 
       1.944766900246e-03       1.319872783949e+03 
       2.047172686846e-03       1.380379883652e+03 
       2.151611143041e-03       1.441257169557e+03 
       2.257908672078e-03       1.502363735000e+03 
       2.365903467808e-03       1.563571222450e+03 
       2.475445979787e-03       1.624763286260e+03 
       2.586398907712e-03       1.685835648018e+03 
       2.698636858273e-03       1.746695300759e+03 
       2.812045774843e-03       1.807260143529e+03 
       2.926522227346e-03       1.867456932897e+03 
       3.041972628545e-03       1.927221655768e+03 
       3.158312425015e-03       1.986498508290e+03 
       3.275465296538e-03       2.045238719772e+03 
       3.393362386273e-03       2.103399850325e+03 
       3.511941575581e-03       2.160945678507e+03 
       3.631146811106e-03       2.217844651416e+03 
       3.750927487357e-03       2.274070079510e+03 
       3.871237885001e-03       2.329598612277e+03 
       3.992036663108e-03       2.384412343728e+03 
       4.113286402413e-03       2.438494089116e+03 
       4.234953195938e-03       2.491830285980e+03 
       4.357006283050e-03       2.544410461721e+03 
       4.479417722957e-03       2.596225715238e+03 
       4.602162103782e-03       2.647269533389e+03 
       4.725216283514e-03       2.697536540916e+03 
       4.848559159457e-03       2.747023126286e+03 
       4.972171463027e-03       2.795727731353e+03 
       5.096035577095e-03       2.843648901382e+03 
       5.220135373297e-03       2.890787366676e+03 
       5.344456067073e-03       2.937143703887e+03 
       5.468984088379e-03       2.982719711224e+03 
       5.593706966284e-03       3.027519210184e+03 
       5.718613225869e-03       3.071544042224e+03 
       5.843692296004e-03       3.114799301794e+03 
       5.968934426788e-03       3.157289226541e+03 
       6.094330615523e-03       3.199017881364e+03 
       6.219872540296e-03       3.239991025496e+03 
       6.345552500285e-03       3.280213597692e+03 
       6.471363362067e-03       3.319690482482e+03 
       6.597298511245e-03       3.358428536158e+03 
       6.723351808830e-03       3.396434532380e+03 
       6.849517551848e-03       3.433713288221e+03 
       6.975790437733e-03       3.470271043117e+03 
       7.102165532088e-03       3.506116147124e+03 
       7.228638239472e-03       3.541252071248e+03 
       7.355204276894e-03       3.575688918328e+03 
       7.481859649729e-03       3.609424358035e+03 
       7.608600629819e-03       3.642591095674e+03 
       7.735423735527e-03       3.675000157311e+03 
       7.862325713566e-03       3.706692356650e+03 
       7.989303522403e-03       3.737718563330e+03 
       8.116354317107e-03       3.768087030233e+03 
       8.243475435493e-03       3.797807528985e+03 
       8.370664385429e-03       3.826881316073e+03 
       8.497918833216e-03       3.855319763561e+03 
       8.625236592919e-03       3.883125529453e+03 
       8.752615616576e-03       3.910306419011e+03 
       8.880053985201e-03       3.936868363541e+03 
       9.007549900508e-03       3.962821098300e+03 
       9.135101677287e-03       3.988165188083e+03 
       9.262707736385e-03       4.012917664140e+03 
       9.390366598231e-03       4.037074460541e+03 
       9.518076876859e-03       4.060648687722e+03 
       9.645837274391e-03       4.083647423915e+03 
       9.773646575931e-03       4.106070954612e+03 
       9.901503644852e-03       4.127933683099e+03 
       1.002940741843e-02       4.149233238632e+03 
       1.015735690378e-02       4.169979134086e+03 
       1.028535117414e-02       4.190185409130e+03 
       1.041338936539e-02       4.209847159778e+03 
       1.054147067279e-02       4.228977211033e+03 
       1.066959434803e-02       4.247586538017e+03 
       1.079775969644e-02       4.265668008758e+03 
       1.092596607441e-02       4.283233801451e+03 
       1.105421288699e-02       4.300293786554e+03 
       1.118249958563e-02       4.316850938980e+03 
       1.131082566619e-02       4.332910610962e+03 
       1.143919066690e-02       4.348474483168e+03 
       1.156759416668e-02       4.363558825277e+03 
       1.169603578339e-02       4.378160834189e+03 
       1.182451517231e-02       4.392291210530e+03 
       1.195303202469e-02       4.405947097393e+03 
       1.208158606643e-02       4.419141383081e+03 
       1.221017705681e-02       4.431878600670e+03 
       1.233880478730e-02       4.444162088025e+03 
       1.246746908058e-02       4.455996861072e+03 
       1.259616978942e-02       4.467391646139e+03 
       1.272490679583e-02       4.478342639397e+03 
       1.285368001017e-02       4.488874853251e+03 
       1.298248937038e-02       4.498976100598e+03 
       1.311133484117e-02       4.508655386648e+03 
       1.324021641342e-02       4.517914944480e+03 
       1.336913410352e-02       4.526762337664e+03 
       1.349808795276e-02       4.535220019235e+03 
       1.362707802683e-02       4.543266620577e+03 
       1.375610441532e-02       4.550911589730e+03 
       1.388516723129e-02       4.558170542750e+03 
       1.401426661081e-02       4.565045638692e+03 
       1.414340271265e-02       4.571539391400e+03 
       1.427257571792e-02       4.577653319057e+03 
       1.440178582977e-02       4.583395802262e+03 
       1.453103327311e-02       4.588769894883e+03 
       1.466031829438e-02       4.593778443050e+03 
